id,subject,unit,topic,difficulty,question_type,type,question,options,correct_answer,explanation,starter_code,test_cases
che110-u1-1,CHE110,1,Introduction to Environment,easy,MCQ,mcq,The term 'Environment' is derived from which language?,"[""Latin"",""French"",""Greek"",""Sanskrit""]",1,The word 'Environment' comes from the French word 'Environner' meaning to encircle or surround.,,
che110-u1-2,CHE110,1,Spheres of Earth,easy,MCQ,mcq,Which sphere of the earth contains all the water bodies?,"[""Lithosphere"",""Atmosphere"",""Hydrosphere"",""Biosphere""]",2,"The hydrosphere includes all liquid water on Earth, such as oceans, rivers, and lakes.",,
che110-u1-3,CHE110,1,Sustainable Development,medium,MCQ,mcq,Sustainable development was first defined in which report?,"[""Brundtland Report"",""Earth Summit Report"",""Kyoto Protocol"",""Montreal Protocol""]",0,Sustainable development was defined in the 1987 Brundtland Report ('Our Common Future').,,
che110-u1-4,CHE110,1,Sustainable Development Goals,medium,MCQ,mcq,How many Sustainable Development Goals (SDGs) were set by the UN?,"[""10"",""15"",""17"",""20""]",2,There are 17 SDGs adopted by the United Nations in 2015.,,
che110-u1-5,CHE110,1,Sustainable Development,hard,MCQ,mcq,What is the primary goal of sustainable development?,"[""Economic growth above all"",""Meeting needs of present without compromising the future"",""Using all natural resources quickly"",""Focusing only on environmental protection""]",1,"Sustainable development balances economic, social, and environmental needs for now and later.",,
che110-u1-6,CHE110,1,Pillars of Sustainability,medium,MCQ,mcq,Which of the following is NOT a pillar of sustainability?,"[""Social"",""Environment"",""Economic"",""Political""]",3,"The three core pillars are Social, Economic, and Environmental.",,
che110-u1-7,CHE110,1,Carrying Capacity,hard,MCQ,mcq,Carrying capacity refers to?,"[""Maximum number of individuals an environment can support"",""The weight of the Earth"",""The amount of cargo a ship can hold"",""None of the above""]",0,Carrying capacity is the maximum population size of a biological species that can be sustained in that specific environment.,,
che110-u1-8,CHE110,1,Spheres of Earth,easy,MCQ,mcq,The thin layer of air surrounding the earth is called?,"[""Atmosphere"",""Stratosphere"",""Exosphere"",""Mesosphere""]",0,The atmosphere is the envelope of gases surrounding the planet.,,
che110-u1-9,CHE110,1,Introduction to Environment,easy,MCQ,mcq,Biotic components of environment include?,"[""Air and water"",""Soil and minerals"",""Plants and animals"",""Temperature and sunlight""]",2,Biotic factors are the living components of an ecosystem.,,
che110-u1-10,CHE110,1,Sustainable Development Goals,hard,MCQ,mcq,What is SDG 13 related to?,"[""No Poverty"",""Climate Action"",""Quality Education"",""Life on Land""]",1,SDG 13 focuses on taking urgent action to combat climate change and its impacts.,,
che110-u1-11,CHE110,1,Introduction to Environment,easy,MCQ,mcq,Abiotic components include ____.,"[""Fungi"",""Animals"",""Water"",""Bacteria""]",2,"Non-living components like water, soil, and air.",,
che110-u1-12,CHE110,1,Spheres of Earth,medium,MCQ,mcq,Living portion of Earth?,"[""Biosphere"",""Ionosphere"",""Mesosphere"",""Lithosphere""]",0,The biosphere is where all life exists.,,
che110-u1-13,CHE110,1,History,easy,MCQ,mcq,Year of Brundtland Report?,"[""1987"",""1992"",""1972"",""2000""]",0,The report 'Our Common Future' introduced the concept of sustainability internationally.,,
che110-u1-14,CHE110,1,Spheres of Earth,medium,MCQ,mcq,Uppermost layer of Earth's crust?,"[""Mantle"",""Core"",""Lithosphere"",""Hydrosphere""]",2,Includes the soil and rocky outer layer of the planet.,,
che110-u1-15,CHE110,1,History,hard,MCQ,mcq,Agenda 21 was an outcome of?,"[""Rio Earth Summit (1992)"",""Stockholm (1972)"",""Kyoto (1997)"",""None""]",0,A global plan for sustainable development in the 21st century.,,
che110-u1-16,CHE110,1,Environmental Studies,easy,MCQ,mcq,Environmental studies is ____ nature.,"[""Multidisciplinary"",""Unidisciplinary"",""Art only"",""None""]",0,"It draws knowledge from science, social studies, and ethics.",,
che110-u1-17,CHE110,1,Sustainable Development,medium,MCQ,mcq,Sustainable development focuses on ___.,"[""Inter-generational equity"",""Greed"",""Only current needs"",""None""]",0,Ensuring future generations have resources as well.,,
che110-u1-18,CHE110,1,Spheres of Earth,hard,MCQ,mcq,Portion of atmosphere with ozone layer?,"[""Stratosphere"",""Troposphere"",""Ionosphere"",""None""]",0,The ozone layer protects life from harmful UV radiation.,,
che110-u1-19,CHE110,1,Sustainable Development Goals,easy,MCQ,mcq,SDG 1 objective?,"[""No Poverty"",""Health"",""Water"",""Clean Energy""]",0,Eliminating poverty in all its forms everywhere.,,
che110-u1-20,CHE110,1,Sustainable Development Goals,medium,MCQ,mcq,SDG 6 focus?,"[""Clean Water and Sanitation"",""Gender Equality"",""Industry"",""None""]",0,Ensuring availability and sustainable management of water.,,
